Method ID,Method Name,Method Context 
326,Inorganic Oxyhalide Disinfection By-products in Drinking Water by Ion Chromatography with Postcolumn Reagent for Trace B,USEPA
327.0 REV1.1,Chlorine Dioxide and Chlorite in Drinking Water by Visible Spectrophotometry,USEPA
331,Perchlorate in water by LC/EMI/MS,USEPA
332,Perchlorate in drinking water by IC-ESI/MS,USEPA
334,Residual Chlorine in Drinking Water Using an On-Line Chlorine Analyzer,USEPA
349,Ammonia in Estuarine and Coastal Waters by Colorimetry,USEPA
35-00 (QUANTITATIVE),Benthic Macroinvertebrate Sample Processing: Quantitative Fixed-Count Method,USDOI/USGS
35-00 (TAXONOMIC ID),Benthic Macroinvertebrate Sample Processing: Taxonomic Identification,USDOI/USGS
350.2 (TITRATION),Ammonia by Titrimetry,USEPA
350.2 NESSLERIZATION,Ammonia by Colorimetry (Nesslerization),USEPA
351.3 (ELECTRODE),Total Kjeldahl Nitrogen by Potentiometry,USEPA
351.3 (TITRATION),Total Kjeldahl Nitrogen by Titirmetry,USEPA
351.3 NESSLERIZATION,Total Kjeldahl Nitrogen by Colorimetry,USEPA
3520C,Continuous Liquid-Liquid Extraction of Organics,USEPA
3535A,Solid-phase extraction for organic analytes.,USEPA
3570,Organic Compounds from Solids by Microscale Solvent Extraction,USEPA
366,Silicate by Colorimetry,USEPA
376.3,Acid Volatile Sulfide (AVS) in Sediment by Acidification and Gravimetry.,USEPA
3H-04-RC,Tritium in Water - Liquid Scintillation Counting,USDOE/EML
4110D,Anions in Water by Ion Chromatography,APHA
440,Elemental C and N by Combustion and Thermal Conductivity,USEPA
4500-CLO2 C,Chlorine Dioxide by Amperometry,APHA
4500-CLO2 E,Chlorine by Amperometry,APHA
4500-CN-B,Cyanide: Preliminary Treatment of samples,APHA
4500-KMNO4,Potassium Permanganate in Water by Spectrophotometry,APHA
4500-N(ORG) C,Organic Nitrogen/Semi-Micro-Kjeldahl,APHA
4500-NH3 B,Ammonia by Titration,APHA
4500-NH3 B PRE,Ammonia: Preliminary Distillation Step,APHA
4500-NH3 C,Ammonia by Titration,APHA
4500-NH3 D,Ammonia by Selective Electrode,APHA
4500-NH3 E,Ammonia by Selective Electrode Methods Using Known Addition,APHA
4500-NH3 G,Ammonia by Automated Phenate,APHA
4500-NH3 H,Ammonia by Flow Injection Analysis,APHA
4500-NO3 D,Nitrogen (Nitrate) in Water by Nitrate Electrode Method,APHA
4500-NORGB,"Nitrogen, organic, in Water by Macro-Kjeldahl",APHA
4500-NORG C,"Nitrogen, organic, in Water by Semi-Micro-Kjeldahl Method",APHA
4500-O3 B,Ozone by Indigo Colorimetric Method,APHA
4500-P B,"Phosphorus, sample preparation method",APHA
4500-S-2 E,"Sulfide in Water Gas Dialysis, Automated Methylene Blue Method",APHA
4500-S-2 F,Sulfide in Water by Iodometric Method,APHA
4500-SIO2 C,Silica by Molybdosilicate Method,APHA
4500-SIO2 D,Silica by Heteropoly Blue Method,APHA
4500-SIO2 E,"Silica, Automated Method for Molybdate-Reactive Silica",APHA
4500-SO32- B,Sulfite by Iodometry,APHA
4500-SO42- C,Sulfate by Gravimetric Analysis with Ignition of Residue,APHA
4500-SO42- D,Sulfate in Water by Gravimetry with Drying of Residue,APHA
500001,"Atrazine by Immunoassay, Magnetic Particle",ABRAXIS LLC
500007,"Atrazine by Immunoassay, High Sensitivity, Magnetic Particle",ABRAXIS LLC
500021,"Acetochlor by Immunoassay, Magnetic Particle",ABRAXIS LLC
500061,"Metolachlor by Immunoassay, Magnetic Particle",ABRAXIS LLC
500065,"Metolachlor by Immunoassay, Microtiter Plate",ABRAXIS LLC
500071,"Alachlor by Immunoassay, Magnetic Particle",ABRAXIS LLC
500076,"Alachlor by Immunoassay, Microtiter Plate",ABRAXIS LLC
500081,"Glyphosate by Immunoassay, Magnetic Particle",ABRAXIS LLC
500086,"Glyphosate by Immunoassay, Microtiter Plate",ABRAXIS LLC
500090,"PBDEs in water by Immunoassay, Magnetic Particle",ABRAXIS LLC
500201,"Pyrethroid by Immunoassay, Magnetic Particle",ABRAXIS LLC
50020B,"Spinosyn in water by Immunoassay, Coated Tube",ABRAXIS LLC
500501,"Penoxsulam by Immunoassay, Magnetic Particle",ABRAXIS LLC
500511,"Fluridone by Immunoassay, Magnetic Particle",ABRAXIS LLC
502.2 (BY ELCD),VOCs in Water by GC/PID/ELCD,USEPA
502.2 (BY PID),VOCs in Water by GC/PID/ELCD,USEPA
5030C,Purge-and-Trap for Aqueous Samples,USEPA
5077 (SUSP SED COLL),Introduction to Suspended-Sediment Sampling,USDOI/USGS
51 INVERT COLLECTION,Invertebrate Qualitative Survey Protocols for Wadable Streams and Rivers in Michigan,MI DEQ SURFACE WATER
515001,"Sulfmethazine by Immunoassay, Magnetic Particle",ABRAXIS LLC
515006,"Sulfamethazine by Immunoassay, Microtiter Plate",ABRAXIS LLC
515565,"Cotinine by Immunoassay, Microtiter Plate",ABRAXIS LLC
515575,"Caffeine by Immunoassay, Microtiter Plate",ABRAXIS LLC
515585,"Carbamazepine by Immunoassay, Microtiter Plate",ABRAXIS LLC
520001,"Diuron by Immunoassay, Microtiter Plate",ABRAXIS LLC
520005,"Atrazine by Immunoassay, Microtiter Plate",ABRAXIS LLC
520006,"Triazine Metabolite by Immunoassay, Microtiter Plate",ABRAXIS LLC
521,Nitrosamines in water by SPE and GC/MS/MS,USEPA
522003,"Sulfamethoxazole(SMX) by Immunoassay, Microtiter Plate",ABRAXIS LLC
522011,"Cylindrospermopsin in water by Immunoassay, Microtiter Plate",ABRAXIS LLC
52250B,"Fluoroquinolone by Immunoassay, Microtiter Plate",ABRAXIS LLC
52255B,"Saxitoxin in water by Immunoassay, Microtiter Plate",ABRAXIS LLC
52256B,"Tylosin by Immunoassay, Microtiter Plate",ABRAXIS LLC
524.3,Purgeable Organic Compounds in Water by GCMS,USEPA
526,SVOCs in Water by GCMS,USEPA
527,Pesticides and flame retardants in water by SPE and capillary column GC/MS,USEPA
528,Phenols in Water by GC/MS,USEPA
529,Explosives and Related Compounds in Water by SPE and Capillary Column GC/MS,USEPA
530001,"PCBs by Immunoassay, Higher Chlorinated, Magnetic Particle",ABRAXIS LLC
530011,"Coplanar PCBs by Immunoassay, Microtiter Plate",ABRAXIS LLC
530021,"PCBs by Immunoassay, Lower Chlorinated, Magnetic Particle",ABRAXIS LLC
530039,"Benzo(a)Pyrene by Immunoassay, Microtiter Plate",ABRAXIS LLC
530111,"Triclosan by Immunoassay, Magnetic Particle",ABRAXIS LLC
530114,"Triclosan by Immunoassay, Microtiter Plate",ABRAXIS LLC
531.2,N-Methylcarbamoyloximes and N-Methylcarbamates in Water by HPLC with Post Column Derivitization,USEPA
532,Phenylurea Compounds in Water by HPLCUV,USEPA
535 (ITMS),Chloroacetanilide and other acetamide herbicide degradates by solid phase extraction and liquid chromatography with tand,USEPA
535 (TQMS),Chloroacetanilide and other acetamide herbicide degradates by solid phase extraction and liquid chromatography with tand,USEPA
537,Organic contaminants in drinking water by direct aqueous injection-liquid chromatography/tandem mass spectrometry,USEPA
538,Organic contaminants in drinking water by direct aqueous injection-liquid chromatography/tandem mass spectrometry,USEPA
540021,"Cyclodienes by Immunoassay, Microtiter Plate",ABRAXIS LLC
54002B,"Benomyl and Carbendazim in water by Immunoassay, Microtiter Plate",ABRAXIS LLC
54003B,"2,4-D by Immunoassay, Microtiter Plate",ABRAXIS LLC
540041,"DDE/DDT by Immunoassay, Microtiter Plate",ABRAXIS LLC
54004B,"2,4-D in water by Immunoassay, Coated Tube",ABRAXIS LLC
548.1 (BY FID),Endothall in Water Using GCMS,USEPA
548.1 (BY MS),Endothall in Water Using GCMS,USEPA
550051,"Organophosphate and Carbamate Pesticides by Cholinesterase Inhibition, Tube",ABRAXIS LLC
550055,"OP/Carbamate by Immunoassay, Microtiter Plate",ABRAXIS LLC
552.3REV1.0,"Haloacetic Acids and Dalapon in Drinking Water by Microextraction, Derivitization, and GC-ECD",USEPA
556,Carbonyls by GC/ECD,USEPA
556.1,Carbonyls by Fast GC/ECD,USEPA
557,"Haloacetic Acids, Bromate, and Dalapon in Drinking Water by IC-ESI-MS/MS",USEPA
580002,"17-B Estradiol by Immunoassay, Microtiter Plate",ABRAXIS LLC
6020A,ICP-MS,USEPA
604,Phenols in Water Using GCECD/FID,USEPA
6040D,Solid-Phase Microextraction (SPME),APHA
609,Nitroaromatics and Isophorone via GC with Flame Ionization Detector (FID) and Electron Capture Detector (ECD),USEPA
6200B,Volatile organic compounds in Water by Purge and Trap Capillary-Column GC/MS Method,APHA
6200C,Volatile organic compounds in Water by Purge and Trap Capillary-Column GC Method,APHA
6420B,Phenols in Water by Liquid-Liquid Extraction GC,APHA
7000301,PCP (pentachlorophenol) in soils/sediment by immunoassay,MWI
70606,PAH in soils/sediment by immunoassay,MWI
7061301,PAH in soils/sediment by immunoassay,MWI
70620,PAH in water by immunoassay,MWI
70950,"Silvex (2,4,5-TP) in soils/sediment by immunoassay",MWI
7120B,Gamma-emitting isotopes by Gamma Spectroscopic Method,APHA
72920,"2,4-D in Water by Immunoassay",MWI
73100,DDT in soils/sediment by immunoassay,MWI
73110,Chlordane (cyclodiene) in soils/sediment by immunoassay,MWI
73300,Chlordane (cyclodiene) in water by immunoassay,MWI
73310,Chlordane (cyclodiene) in water by immunoassay,MWI
74200,Toxaphene in soils/sediment by immunoassay,MWI
75900,Endosulfan in water by immunoassay,MWI
76300,Lindane in soils/sediment by immunoassay,MWI
78900,Picloram in water by Immunoassay,MWI
8012,Aluminum in water by Aluminon Indicator,HACH
8015C,Nonhalogenated Organics by GC-FID,USEPA
8021B (BY GC-ELCD),Aromatic and Halogenated Volatiles by GC-ELCD,USEPA
8021B (BY GC-PID),Aromatic and Halogenated Volatiles by GC-PID,USEPA
8041A,Phenols by Gas Chromatography,USEPA
8081B,Organochlorine Pesticides by GC-ECD,USEPA
8082A,Polychlorinated Biphenyls (PCBs) by Gas Chromatography,USEPA
8091 (BY GC-ECD),"Nitroaromatics and Cyclic Ketones in Water, Soil, and Waste by GC-ECD or GC-NPD",USEPA
8091 (BY GC-NPD),"Nitroaromatics and Cyclic Ketones in Water, Soil, and Waste by GC-NPD",USEPA
8111,"Haloethers in Water, Soil, and Waste Samples by Chromatography and Electron Capture Detection",USEPA
8141B (BY GC-FPD),"Organophosphorus Compounds in Water, Soil, and Waste Samples by GC-FPD",USEPA
8141B (BY GC-NPD),"Organophosphorus Compounds in Water, Soil, and Waste Samples by GC-NPD",USEPA
8201,Acidity of Water,HACH
8202,Phenolphthalein (Total) Acidity of Water,HACH
8288,Acid/Base Milliequivalent Determination Using Sodium Hydroxide,HACH
8289,Acid/Base Milliequivalent Determination Using Sulfuric Acid,HACH
8321B,Nonvolatiles by HPLC-MS,USEPA
8330B,Explosives by HPLC,USEPA
8A (SOIL / SEDIMENT),"Chlorinated Biphenyls in Soil, Sediment, and Mixed Samples by HRGC/HRMS",USEPA
9040 B,pH in Water by Electrometric Measurement,USEPA
9056A,Anion Chromatography Method,USEPA
9060A,Total Organic Carbon in water and wastes by Carbonaceous Analyzer,USEPA
9213B,Staphylococcus aureus in water by Tube Culture,APHA
"9221A,B,C,F",Coliform bacteria by Multiple-tube test using lauryl-tryptose and EC-MUG broth,APHA
"9222A,B,C","Coliforms, total, by Membrane Filtration (MF) Plating",APHA
"9222B,G",Membrane filtration plating of E. coli with MUG-fluorescent detection,APHA
9260 I,Leptospira spp. in water by Tube Culture,APHA
973.52B,Hardness of Water,AOAC
993.06,Staphylococcal Enterotoxins by Enzyme Immunoassay,AOAC
A00070,Aldicarb in water by Immunoassay,MWI
A00071,Atrazine in water by Immunoassay,MWI
A00072,Alachlor in water by Immunoassay,MWI
A00073,Cyanazine in water by Immunoassay,MWI
A00074,Carbofuran in water by Immunoassay,MWI
A00080,Metolachlor in water by Immunoassay,MWI
A00081,Captan in water by Immunoassay,MWI
A00082,"2,4-D in Water by Immunoassay",MWI
A00088,Procymidone in water by Immunoassay,MWI
A00093,Benomyl/Carbendazim in water by Immunoassay,MWI
A00097,Carbaryl in water by Immunoassay,MWI
A00105,Chlorothalonil in water by Immunoassay,MWI
A00111,PCP (pentachlorophenol) in water by immunoassay,MWI
A00111/A00128,PCP (pentachlorophenol) in soils/sediment by immunoassay,MWI
A00134,PCB (polychlorinated biphenyl) in water by immunoassay,MWI
A00134/A00137,PCB (polychlorinated biphenyl) in soils/sediment by immunoassay,MWI
A00143,Chlorpyrifos in water by Immunoassay,MWI
A00147,Paraquat in water by Immunoassay,MWI
A00151,"Atrazine in water by Immunoassay, High Sensitivity",MWI
A00157,PAH in water by immunoassay,MWI
A00157/A00160,PAH in soils/sediment by immunoassay,MWI
A00171,Triclopyr in water by Immunoassay,MWI
A00178,Spinosad in water by Immunoassay,MWI
A00196,Methomyl in water by Immunoassay,MWI
A00201,PAH in water by immunoassay,MWI
A00201/A00204,PAH in soils/sediment by immunoassay,MWI
A00208,TCP in water by Immunoassay,MWI
A00212,"Silvex (2,4,5-TP) in water by immunoassay",MWI
A00216,Dieldrin (cyclodiene) in water by immunoassay,MWI
A00216/A00256,Dieldrin (cyclodiene) in soils/sediment by immunoassay,MWI
A00224,Metribuzin in water by Immunoassay,MWI
A00243,Nitrate in water by colorimetric assay,MWI
A00246,Simazine in water by Immunoassay,MWI
AFS SD TROUT,Trout collection in wadeable trout streams by backpack electrofishing,AFS
AFS-WWSTC,Fish collection in warmwater streams by electrofishing,AFS
AG-625,Atrazine by Immunoassay,SYNGENTA
AM-04-RC,Americium and Plutonium by Ion Exchange and Alpha Spectrometry,USDOE/EML
AQ4500,Turbidity of Water by LED Nephelometry,THERMO-SCIENTIFIC
ASTM 3972-02,Uranium isotopes in water by chemical separations and alpha pulse-height analysis.,ASTM
ASTRORT-PCR,Astrovirus serotypes by real-time reverse transcription-PCR,USEPA
ATP D05-0035,E. coli and other Total Coliforms in Water using Modified Colitag Medium,MODIFIED COLITAG
B-3520-85,"Periphyton, Biomass, Dry Weight, total and Ash Weight",USDOI/USGS
B-9001-95 (CV-AAS),Trace Metals in Aquatic Biological Material by CV-AAS,USDOI/USGS
B-9001-95 (ICP-AES),Trace Metals in Aquatic Biological Material by ICP-AES,USDOI/USGS
B-9001-95 (ICP-MS),Trace Metals in Aquatic Biological Material by ICP-MS,USDOI/USGS
B-9135-00 SLIDE PREP,Benthic Macroinvertebrate Slide Preparation,USDOI/USGS
BACANTR-SG,Bacillus anthracis - Sentinel Procedure,USEPA
BIOO-1018,Malachite Green Water Test - column-based,BIOO
BREVELCMS,Brevetoxin in water by LCMS,USEPA
CAB-EC-1-2001,Benthic Invertebrate sample collection; 3 minute kicknet in wadeable streams,ENVCANADA-NWRI
CDC - S. TYPHI,Salmonella Typhi in Isolates by Real-time Polymerase Chain Reaction.,CDC
CDC - V. CHOLERAE,V. cholerae in Isolates by Real-time Polymerase Chain Reaction,CDC
CENSOR STATS,Statistics for Censored Environmental Data Using Minitab and R,PRACTICAL STATS
CENSORED DATA STATS,Nondetects and Data Analysis: Statistics for Censored Environmental Data,USDOI/USGS
CHEM-TP-A.1,Actinides in Small Environmental Samples by Sequential Determination,USDOE/RESL
CHEM-TP-A.20,Actinide Separations for Alpha Spectrometry Using Neodymium Fluoride Coprecipitation,USDOE/RESL
CHEM-TP-FE.1,Fe-55 in Water by Liquid Scintillation Counting,USDOE/RESL
CHEM-TP-GA/B.1,Gross Alpha and Beta in Water,USDOE/RESL
CHEM-TP-GA/B.2,Gross Alpha and Beta in Water and Waste Water,USDOE/RESL
CHEM-TP-H3.1,"Tritium in Water, Wastewater, Milk, and Urine by Liquid Scintillation Counting",USDOE/RESL
CHEM-TP-NI.1,Ni-63 in Water by Liquid Scintillation Counting,USDOE/RESL
CHEM-TP-SP.2,Sample Reconstitution,USDOE/RESL
CHEM-TP-SR.06,Sr-89 and Sr-90 in Liquid Radioactive Wastes or Waters by Beta Counting,USDOE/RESL
CHEM-TP-SR.1,"Strontium-90 in Soil, Water, and Filter Samples",USDOE/RESL
CHEM-TP-SR.7,Sr-90 Carbonate Method,USDOE/RESL
COLISCAN,E. coli and other coliform bacteria by Coliscan MF,MICROLOGY LABS
CONTINUOUS DATA,Guidelines and Standard Procedures for Continuous Water-Quality Monitors,USDOI/USGS
CSRS GW,Computerized Stratified Random Site-Selection Approaches for Design of a Ground-Water-Quality Sampling Network,USDOI/USGS
D1067,Acidity or Alkalinity of water by electrometric titration,ASTM
D1246 C,Bromide Ion in Water by Ion Selective Electrode,ASTM
D1452-07A,Standard Practice for Soil Investigation and Sampling by Auger Borings,ASTM
D2972,Total Arsenic in Water by AA gaseous hydride,ASTM
D3645,Beryllium in Water by AAS,ASTM
D3856,Good Laboratory Practices,ASTM
D3867,Nitrate-Nitrite in Water by Automated Cadmium Reduction,ASTM
D512 D,Chloride Ion In Water by Ion-Selective Electrode Method,ASTM
D515,Phosphorus in Water by manual single reagent,ASTM
D5388,"Discharge, Indirect, by Step-Backwater",ASTM
D5543A,Color Comparator Test Method Using Self-Filling Glass Ampoules (Test Method A),ASTM
D5543B,Instrument Test Method Using Self-Filling Glass Ampoules (Test Method B),ASTM
D5544,Residue in Water,ASTM
D5613,Travel Time,ASTM
D5614,Open Channel Flow Measurement of Water,ASTM
D5673,Elements in Water by ICP-MS,ASTM
D5790,Purgeable Organic Compounds in Water,ASTM
D5811,Strontium-90 in Water,ASTM
D5812,Organochlorine Pesticides in Water by Capillary Column by GC/ECD,ASTM
D5904,Carbon (all forms) in Water,ASTM
D5907,"Matter, Filterable and Nonfilterable, in Water",ASTM
D5916,Clostridium perfringens from Water and Extracted Sediments,ASTM
D5996,Anionic Contaminants in High-Purity Water by On-Line Ion Chromatography,ASTM
D5997,"Carbon (all forms), On-Line Measurement in Water",ASTM
D6071,Sodium by GFAA,ASTM
D6238,Oxygen Demand in Water,ASTM
D6239,Uranium in Drinking Water,ASTM
D6303,Formaldehyde in Water,ASTM
D6501,Phosphonates in Brines,ASTM
D6502,Particulate and Dissolved Matter by XRF,ASTM
D6508,Anions in Water by CIE-UV,ASTM
D6569,"pH, On-Line Measurement",ASTM
D6581,Oxyhalides in Water,ASTM
D6592,Water Quality by Chemiluminesence,ASTM
D6888,Available Cyanide in water with Ligand Displacement and FIA Utilizing Gas Diffusion Separation and Amperometric Detectio,ASTM
D6919,Dissolved Alkali and Alkaline Earth Cations and Ammonium in Water and Wastewater by IC,ASTM
DATA QUALITY (DEFT),Data Quality Objectives Decision Error Feasibility Trials (DEFT) Software,USEPA
DATA QUALITY GUIDE,U.S. Environmental Protection Agency,USEPA
DATA QUALITY SYS PLN,Guidance on Systematic Planning Using the Data Quality Objectives Process,USEPA
DATA STABLE ISOTOPES,"Phillips, Donald L.",USEPA
DECISION INFO SYSTEM,U.S. Environmental Protection Agency Office of Research and Development,USEPA
E-1192-97,"Acute Toxicity Tests for Water with Fishes, Macroinvertebrates, and Amphibians",ASTM
E. COLI AND SHIGELLA,E. coli and Shigella in Isolates by Real-time Polymerase Chain Reaction,CDC
E1367-99,Sediment Toxicity Test Using Marine and Estuarine Amphipods,ASTM
EASYGEL,E. coli and other coliform bacteria by Coliscan Easygel method,MICROLOGY LABS
ECO METHOD,"Ecological Methodology ~ ; Krebs, C.J.",UBC
ENVIRONMENT STANDARD,"Barnett, Vic and O'Hagan, A.",NTU UK
ENVIRONMENTAL STATS,"Barnett, Vic",NTU UK
EP 010,Chlordane (cyclodiene) immunoassay,ENVIROLOGIX
EP 020,DDT immunoassay,ENVIROLOGIX
EPA RBP (INVERTS),"Benthic Macroinvertebrate RBP, single habitat, 1m kick net",USEPA
ET013,PCB (polychlorinated biphenyl) immunoassay,ENVIROLOGIX
FMG,"Fish inventory and monitoring technical guide, USDA-FS",USDA
FOR SMALL WATERSHEDS,Cumulative uncertainty in measured streamflow and water quality data for small watersheds,USDA
FT-SG,Francisella tularensis plate count method,USEPA
G-03,Microprecipitation Source Preparation for Alpha Spectrometry,USDOE/EML
GWPD 1,GWPD 1-Measuring water levels by use of a graduated steel tape,USDOI/USGS
GWPD 17,GWPD 17-Conducting an instantaneous change in head (slug) test with a mechanical slug and submersible pressure transduce,USDOI/USGS
GWPD 2,GWPD 2-Identifying a minimum set of data elements to establish a groundwater site,USDOI/USGS
GWPD 3,GWPD 3-Establishing a permanent measuring point and other reference marks,USDOI/USGS
GWPD WELL,Method to estimate discharge from a pumped well by use of a circular orifice weir,USDOI/USGS
GWTP,Groundwater technical procedures of the U.S. Geological Survey,USDOI/USGS
HBSL,Health Based Screening Levels (HBSLs),USDOI/USGS
I-1030-85,Alkalinity in water by electrometric titration,USDOI/USGS
I-1125-85,"Bromide, dissolved, in water by titrimetric, hypochlorite oxidation",USDOI/USGS
I-1183-85,"Chloride, dissolved, in water by titrimetric, Mohr method",USDOI/USGS
I-1184-85,"Chloride, dissolved, in water by titrimetric, mercurimetric",USDOI/USGS
I-1187-85,"Chloride, dissolved, in water by colorimetric, ferric thiocyanate",USDOI/USGS
I-1190-02,"Arsenic, dissolved, field speciation, solid-phase extraction, ICP-MS",USDOI/USGS
I-1229-87,"Chromium, dissolved, in water by atomic emission",USDOI/USGS
I-1230-85,"Chromium, hexavalent, dissovled, in water by colorimetric, diphenylcarbazide",USDOI/USGS
I-1233,"Chromium, dissolved, water, GFAA",USDOI/USGS
I-1300-85,"Cyanide, Colorimetric, Pyridine-Pyrazolone, Dissolved",USDOI/USGS
I-1312,"Density, dissolved, water by gravimetry",USDOI/USGS
I-1338,Hardness in water by colorimetric titration,USDOI/USGS
I-1472-85,"Metals, dissolved, water, ICP-AES (Archive method)",USDOI/USGS
I-1472-87,Metals in Water by ICP,USDOI/USGS
I-1472-95,"Aluminum and Boron, dissolved, in water by ICP-AES",USDOI/USGS
I-1492-96,"Molybdenum in Water by Graphite Furnace Atomic Absorption Spectrophotometry, Filtered",USDOI/USGS
I-1575-78,"Oxygen, dissolved, in water by Winkler titrimetric methods",USDOI/USGS
I-1576-78,"Oxygen, dissolved, in water by electrometric, polarographic probe",USDOI/USGS
I-1578-78,"Oxygen demand, biochemical, in water by 5-day titrimetric methods at 20<sup>o</sup>C",USDOI/USGS
I-1586-85,pH of Water Samples by Ion Selective Electrode,USDOI/USGS
I-1601-85,"Phosphorus, orthophosphate, dissolved in water by colorimetry, phosphomolybdate",USDOI/USGS
I-1630-85,"Potassium, dissolved, in Water by Atomic Absorption Spectrometry",USDOI/USGS
I-1700-85,"Silica, dissolved, in water by colorimetric, molybdate blue",USDOI/USGS
I-1735,"Sodium, dissolved, atomic absorption spectrometric",USDOI/USGS
I-1750-85,"Solids, dissolved, residue on evaporation at 180 degrees C, gravimetric",USDOI/USGS
I-1753,"Solids, dissolved, volatile-on-ignition, gravimetric",USDOI/USGS
I-1780-85,"Specific Conductance of Water, Manual",USDOI/USGS
I-1800,"Strontium, dissolved, atomic absorption spectrometric",USDOI/USGS
I-1900,"Zinc, dissolved, atomic absorption spectrometric",USDOI/USGS
I-2020-05,Elements (filtered) in water by cICP-MS,USDOI/USGS
I-2030-85,Alkalinity of water samples,USDOI/USGS
I-2030-89,Alkalinity of water samples,USDOI/USGS
I-2063-98,"Arsenic in water by graphite furnace-atomic absorption spectrometry, dissolved",USDOI/USGS
I-2129-85,Bromide in Water by Colorimetry,USDOI/USGS
I-2138-89,"Cadmium in Water by GFAA, Dissolved",USDOI/USGS
I-2187-85,"Chloride, dissolved, in water by colorimetric, ferric thiocyanate, automated-segmented flow",USDOI/USGS
I-2191-02,"Laboratory arsenic speciation, phosphate mobile phase, arsine generation, ICP-MS detection, dissolved",USDOI/USGS
I-2192-02,"Laboratory arsenic speciation, malonate/acetate mobile phase, ICP-MS detection, dissolved",USDOI/USGS
I-2193-02,"Laboratory arsenic speciation, nitric acid mobile phase, ICP-MS detection, dissolved",USDOI/USGS
I-2243,"Cobalt, dissolved, water, GFAA",USDOI/USGS
I-2274,"Copper, dissolved in water by GFAA",USDOI/USGS
I-2327-85,"Fluoride Ion in Water by Ion-Selective Electrode, Dissolved",USDOI/USGS
I-2371,"Iodide, dissolved in water by colorimetry",USDOI/USGS
I-2403,"Lead, dissolved in water by GFAA",USDOI/USGS
I-2464-01,Organic plus Inorganic Mercury in Filtered Natural Water by Cold-Vapor AFS,USDOI/USGS
I-2477-92,Determination of metals in Water by ICP-MS,USDOI/USGS
I-2503,"Nickel, dissolved, GFAA",USDOI/USGS
I-2515-91,"Ammonium plus organic nitrogen, dissolved",USDOI/USGS
I-2522-90,Ammonia in Water by Colorimetry,USDOI/USGS
I-2525,"Nitrogen, ammonia, dissolved, low ionic-strength, colorimetric, ASF",USDOI/USGS
I-2542,"Nitrogen, nitrite, dissolved, colorimetric, ASF, low ionic-strength",USDOI/USGS
I-2545,"Nitrogen, nitrite plus nitrate, dissolved, colorimetric, ASF",USDOI/USGS
I-2546-91,Nitrate and Nitrite in Low Ionic-Strength Water by Colorimetry,USDOI/USGS
I-2587-85,"pH of Water Samples, Automated",USDOI/USGS
I-2598-85,"Phosphorus, orthoposphate in water by automated discrete colorimetry, phosphomolybdate",USDOI/USGS
I-2601-90,"Phosphorus, Orthophosphate in Water by Colorimetry",USDOI/USGS
I-2606,"Phosphorus, orthophosphate plus hydrolyzable, dissolved, colorimetric, ASF",USDOI/USGS
I-2607,"Phosphorus, dissolved, low ionic-strength, colorimetric, ASF",USDOI/USGS
I-2610-91,"Phosphorus in Water by Kjeldahl Digestion and Colorimetric Finish, Filtered",USDOI/USGS
I-2650-03,"Nitrogen and Phosphorus, Dissolved, in water by Alkaline Persulfate Digestion",USDOI/USGS
I-2667-85,"Selenium in water by atomic absorption, hydride, dissolved",USDOI/USGS
I-2668-98,"Selenium in water by graphite furnace-atomic absorption spectrometry, dissolved",USDOI/USGS
I-2700-85,"Silica, Colorimetric, Dissolved",USDOI/USGS
I-2724,"Silver, dissolved, GFAA",USDOI/USGS
I-2725,"Silver, atomic absorption spectrophotometry, graphite furnace, LIS",USDOI/USGS
I-2725-93 (HGA),"Silver in Water by Atomic Absorption Spectrophotmetry, Graphite Furnace, Low Ionic Strength",USDOI/USGS
I-2725-93 (THGA),"Silver in Water by Atomic Absorption Spectrophotmetry, Graphite Furnace, Low Ionic Strength",USDOI/USGS
I-2781-85,"Specific Conductance of Water, Automated",USDOI/USGS
I-3051-85,"Aluminum in water by atomic absorption spectrometric, direct aspiration",USDOI/USGS
I-3060-85,"Arsenic, total, in water by colorimetric, silver diethyldithiocarbamate",USDOI/USGS
I-3062-85,"Arsenic, total, in water by atomic absorption spectrometric, hydride",USDOI/USGS
I-3112-85,"Boron in water by colorimetric, curcumin",USDOI/USGS
I-3136-85,"Cadmium in water by AAS, chelation-extraction",USDOI/USGS
I-3229-87,"Chromium in Water by Atomic Emission, Whole Water Recoverable",USDOI/USGS
I-3233,"Chromium, whole-water-recoverable, water, GFAA",USDOI/USGS
I-3236-85,"Chromium, total recoverable, in water by atomic absorption spectrometric, direct aspiration",USDOI/USGS
I-3271-85,"Copper, total recoverable, in water by atomic absorption spectrometric, chelation-extraction",USDOI/USGS
I-3300-85,"Cyanide, Colorimetric, Pyridine-Pyrazolone, Total",USDOI/USGS
I-3486-95,Extraction Procedure for Metals in Water by In-Bottle Acid Digestion,USDOI/USGS
I-3487-98,Comparison of In-Bottle and Other Whole-Water Digestion Procedures,USDOI/USGS
I-3490-85,"Molybdenum , total recoverable, in water by atomic absorption spectrometric, chelation-extraction",USDOI/USGS
I-3492-96,"Molybdenum in Water by Graphite Furnace Atomic Absorption Spectrophotometry, unfiltered",USDOI/USGS
I-3520-85,"Nitrogen, ammonia in water by colorimetric, distillation-nesslerization",USDOI/USGS
I-3560-85,"Chemical oxygen demand (COD), total, in water by titrimetric, dichromate oxidation",USDOI/USGS
